"id","invoice_no","cgst","sgst","igst","date","total_amount","gst_without","round_off","time","party_id"
"1","1","0","0","2007","2022-04-01","13157","11150","0","13:36:49.817979","9"
"2","2","0","0","6840","2022-04-05","44840","38000","0","10:56:21.715411","10"
"3","3","0","0","756","2022-04-07","4956","4200","0","10:39:43.523085","11"
"4","4","0","0","2349","2022-04-08","15399","13050","0","18:00:41.569261","7"
"5","5","0","0","1404","2022-04-19","9204","7800","0","15:36:23.705120","7"
"7","6","0","0","1476","2022-04-21","9676","8200","0","17:24:08.994556","13"
"8","7","0","0","2880","2022-04-22","18880","16000","0","14:09:21.108890","1"
"9","8","0","0","6660","2022-04-25","43660","37000","0","10:21:07.240295","14"
"10","9","0","0","1980","2022-04-25","12980","11000","0","11:08:16.022568","15"
"11","10","0","0","15969.6","2022-04-25","104689","88720","0.6","13:22:58.633689","16"
"12","11","0","0","6624","2022-05-06","43424","36800","0","12:54:51.434890","10"
"13","12","0","0","2934","2022-05-17","19234","16300","0","16:07:23.047217","17"
"14","13","450","450","0","2022-05-21","5900","5000","0","21:03:58.011149","18"
"15","14","0","0","1368","2022-05-25","8968","7600","0","12:41:03.196306","7"
"16","15","0","0","198","2022-06-03","1298","1100","0","10:28:24.588981","1"
"17","16","0","0","666","2022-06-06","4366","3700","0","14:21:03.291287","19"
"18","17","0","0","2952","2022-06-11","19352","16400","0","13:27:41.489918","7"
"19","18","0","0","158.4","2022-06-11","1038","880","0.4","16:44:43.172221","9"
"20","19","0","0","1035","2022-06-15","6785","5750","0","13:28:28.001142","10"
