"id","product_name","hsn_code","per"
"1","Oil Tank","84679100","PCS"
"4","Bandsaw Bearing roller","8461","PCS"
"8","Bandsaw Simple roller(25.4MM)","8461","PCS"
"9","Bandsaw Simple roller","8461","PCS"
"10","Bandsaw Simple roller(28.3MM)","8461","PCS"
"11","M.S Chundi","8461","SET"
"12","Saw Setter","8461","PCS"
"13","Bandsaw simple roller(Small)","8461","PCS"
"14","Wise Cutter","8461","SET"
"15","Bandsaw Simple Roller (32MM)","8461","PCS"
"16","Chundi Chapla","8461","PCS"
"17","Table Capala","8461","PCS"
"18","Gear Set","84679100","SET"
"19","Oil Tank Noob","84679100","PCS"
"20","chain Wheel Shapt nut","84679100","PCS"
"21","Oil Tank Bracket","84679100","PCS"
"22","Chain Wheel Shapt","84679100","PCS"
"23","8 Pail Chain Wheel","84679100","PCS"
"24","Bandsaw bearing roller(28.3MM)","8461","PCS"
"25","Chainsaw Stard Set","84679100","SET"
"26","Chain Pully","84679100","SET"
