"id","amount","qty","rate","billDetails_id","product_id"
"1","7700","35","220","1","8"
"2","3450","15","230","1","9"
"3","22000","100","220","2","9"
"4","16000","50","320","2","4"
"5","4200","1","4200","3","1"
"6","7350","35","210","4","9"
"7","1050","5","210","4","13"
"8","4650","15","310","4","4"
"9","7800","2","3900","5","14"
"14","1200","5","240","7","15"
"15","2000","10","200","7","12"
"16","3000","40","75","7","16"
"17","2000","20","100","7","17"
"18","16000","50","320","8","4"
"19","9000","2","4500","9","1"
"20","10000","8","1250","9","23"
"21","1250","5","250","9","19"
"22","3450","15","230","9","10"
"23","3300","10","330","9","24"
"24","5000","50","100","9","23"
"25","1000","50","20","9","20"
"26","2800","8","350","9","22"
"27","1200","2","600","9","21"
"28","11000","50","220","10","9"
"29","49720","226","220","11","9"
"30","24000","75","320","11","4"
"31","15000","75","200","11","12"
"32","36800","16","2300","12","11"
"33","5500","25","220","13","9"
"34","3300","10","330","13","4"
"35","7500","100","75","13","16"
"36","5000","25","200","14","9"
"37","4400","20","220","15","9"
"38","3200","10","320","15","4"
"39","1100","5","220","16","9"
"40","3700","1","3700","17","1"
"41","13200","6","2200","18","11"
"42","3200","10","320","18","4"
"43","880","11","80","19","25"
"44","3500","1","3500","20","14"
"45","2250","5","450","20","26"
